date,mugglenet
2016-01-01,0
2016-01-02,0
2016-01-03,22
2016-01-04,49
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,26
2016-01-10,0
2016-01-11,18
2016-01-12,34
2016-01-13,56
2016-01-14,74
2016-01-15,38
2016-01-16,20
2016-01-17,0
2016-01-18,0
2016-01-19,24
2016-01-20,0
2016-01-21,19
2016-01-22,0
2016-01-23,85
2016-01-24,33
2016-01-25,28
2016-01-26,30
2016-01-27,45
2016-01-28,34
2016-01-29,47
2016-01-30,0
2016-01-31,50
2016-02-01,25
2016-02-02,25
2016-02-03,22
2016-02-04,0
2016-02-05,17
2016-02-06,32
2016-02-07,25
2016-02-08,16
2016-02-09,0
2016-02-10,0
2016-02-11,34
2016-02-12,25
2016-02-13,59
2016-02-14,0
2016-02-15,26
2016-02-16,24
2016-02-17,23
2016-02-18,0
2016-02-19,18
2016-02-20,30
2016-02-21,27
2016-02-22,43
2016-02-23,56
2016-02-24,50
2016-02-25,38
2016-02-26,0
2016-02-27,0
2016-02-28,49
2016-02-29,30
2016-03-01,0
2016-03-02,0
2016-03-03,16
2016-03-04,19
2016-03-05,19
2016-03-06,0
2016-03-07,33
2016-03-08,25
2016-03-09,18
2016-03-10,0
2016-03-11,66
2016-03-12,58
2016-03-13,0
2016-03-14,51
2016-03-15,44
2016-03-16,28
2016-03-17,0
2016-03-18,0
2016-03-19,34
2016-03-20,56
2016-03-21,0
2016-03-22,36
2016-03-23,23
2016-03-24,18
2016-03-25,0
2016-03-26,0
2016-03-27,74
2016-03-28,35
2016-03-29,70
2016-03-30,100
2016-03-31,57
2016-04-01,82
2016-04-02,25
2016-04-03,79
2016-04-04,42
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,78
2016-04-09,0
2016-04-10,73
2016-04-11,39
2016-04-12,0
2016-04-13,49
2016-04-14,26
2016-04-15,17
2016-04-16,20
2016-04-17,58
2016-04-18,0
2016-04-19,0
2016-04-20,46
2016-04-21,40
2016-04-22,66
2016-04-23,0
2016-04-24,27
2016-04-25,38
2016-04-26,52
2016-04-27,0
2016-04-28,0
2016-04-29,35
2016-04-30,0
2016-05-01,47
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,39
2016-05-06,23
2016-05-07,0
2016-05-08,34
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,0
2016-05-13,18
2016-05-14,23
2016-05-15,21
2016-05-16,23
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,50
2016-05-22,19
2016-05-23,19
2016-05-24,22
2016-05-25,40
2016-05-26,0
2016-05-27,28
2016-05-28,0
2016-05-29,87
2016-05-30,0
2016-05-31,31
2016-06-01,0
2016-06-02,0
2016-06-03,28
2016-06-04,31
2016-06-05,0
2016-06-06,34
2016-06-07,0
2016-06-08,43
2016-06-09,22
2016-06-10,0
2016-06-11,85
2016-06-12,28
2016-06-13,27
2016-06-14,52
2016-06-15,36
2016-06-16,0
2016-06-17,0
2016-06-18,52
2016-06-19,29
2016-06-20,26
2016-06-21,0
2016-06-22,31
2016-06-23,25
2016-06-24,17
2016-06-25,0
2016-06-26,41
2016-06-27,31
2016-06-28,83
2016-06-29,26
2016-06-30,41
2016-07-01,22
2016-07-02,20
2016-07-03,21
2016-07-04,0
2016-07-05,23
2016-07-06,25
2016-07-07,0
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,33
2016-07-13,55
2016-07-14,32
2016-07-15,70
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,0
2016-07-21,25
2016-07-22,20
2016-07-23,42
2016-07-24,0
2016-07-25,51
2016-07-26,35
2016-07-27,22
2016-07-28,25
2016-07-29,0
2016-07-30,38
2016-07-31,96
2016-08-01,100
2016-08-02,31
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,28
2016-08-07,27
2016-08-08,0
2016-08-09,28
2016-08-10,67
2016-08-11,0
2016-08-12,47
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,0
2016-08-17,38
2016-08-18,0
2016-08-19,0
2016-08-20,0
2016-08-21,21
2016-08-22,83
2016-08-23,0
2016-08-24,0
2016-08-25,44
2016-08-26,55
2016-08-27,0
2016-08-28,28
2016-08-29,0
2016-08-30,0
2016-08-31,29
2016-09-01,16
2016-09-02,0
2016-09-03,30
2016-09-04,0
2016-09-05,0
2016-09-06,37
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,35
2016-09-11,35
2016-09-12,0
2016-09-13,0
2016-09-14,17
2016-09-15,24
2016-09-16,23
2016-09-17,37
2016-09-18,0
2016-09-19,42
2016-09-20,25
2016-09-21,0
2016-09-22,19
2016-09-23,18
2016-09-24,31
2016-09-25,34
2016-09-26,19
2016-09-27,0
2016-09-28,16
2016-09-29,0
2016-09-30,0
2016-10-01,30
2016-10-02,0
2016-10-03,0
2016-10-04,18
2016-10-05,0
2016-10-06,26
2016-10-07,19
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,37
2016-10-12,0
2016-10-13,0
2016-10-14,17
2016-10-15,36
2016-10-16,0
2016-10-17,35
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-10-23,36
2016-10-24,18
2016-10-25,42
2016-10-26,66
2016-10-27,0
2016-10-28,0
2016-10-29,24
2016-10-30,48
2016-10-31,0
2016-11-01,20
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-05,29
2016-11-06,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,36
2016-11-11,0
2016-11-12,31
2016-11-13,18
2016-11-14,0
2016-11-15,0
2016-11-16,34
2016-11-17,28
2016-11-18,29
2016-11-19,39
2016-11-20,17
2016-11-21,32
2016-11-22,28
2016-11-23,0
2016-11-24,19
2016-11-25,0
2016-11-26,88
2016-11-27,0
2016-11-28,16
2016-11-29,21
2016-11-30,18
2016-12-01,43
2016-12-02,21
2016-12-03,41
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,27
2016-12-08,18
2016-12-09,25
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,35
2016-12-14,25
2016-12-15,14
2016-12-16,0
2016-12-17,0
2016-12-18,25
2016-12-19,36
2016-12-20,76
2016-12-21,0
2016-12-22,0
2016-12-23,17
2016-12-24,0
2016-12-25,21
2016-12-26,0
2016-12-27,0
2016-12-28,27
2016-12-29,0
2016-12-30,26
2016-12-31,27
2017-01-01,0
2017-01-02,16
2017-01-03,31
2017-01-04,0
2017-01-05,44
2017-01-06,19
2017-01-07,19
2017-01-08,28
2017-01-09,26
2017-01-10,0
2017-01-11,49
2017-01-12,0
2017-01-13,0
2017-01-14,29
2017-01-15,0
2017-01-16,31
2017-01-17,0
2017-01-18,16
2017-01-19,0
2017-01-20,0
2017-01-21,27
2017-01-22,0
2017-01-23,17
2017-01-24,28
2017-01-25,0
2017-01-26,36
2017-01-27,26
2017-01-28,63
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,26
2017-02-02,0
2017-02-03,0
2017-02-04,16
2017-02-05,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,14
2017-02-10,0
2017-02-11,20
2017-02-12,0
2017-02-13,15
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,74
2017-02-19,0
2017-02-20,35
2017-02-21,0
2017-02-22,54
2017-02-23,0
2017-02-24,74
2017-02-25,0
2017-02-26,0
2017-02-27,15
2017-02-28,22
2017-03-01,0
2017-03-02,0
2017-03-03,26
2017-03-04,0
2017-03-05,24
2017-03-06,0
2017-03-07,0
2017-03-08,31
2017-03-09,32
2017-03-10,25
2017-03-11,0
2017-03-12,98
2017-03-13,0
2017-03-14,0
2017-03-15,0
2017-03-16,32
2017-03-17,18
2017-03-18,0
2017-03-19,0
2017-03-20,28
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,26
2017-03-25,23
2017-03-26,0
2017-03-27,0
2017-03-28,29
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-01,0
2017-04-02,51
2017-04-03,0
2017-04-04,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-08,0
2017-04-09,27
2017-04-10,0
2017-04-11,0
2017-04-12,25
2017-04-13,55
2017-04-14,0
2017-04-15,19
2017-04-16,28
2017-04-17,14
2017-04-18,20
2017-04-19,0
2017-04-20,15
2017-04-21,0
2017-04-22,47
2017-04-23,87
2017-04-24,23
2017-04-25,0
2017-04-26,23
2017-04-27,26
2017-04-28,0
2017-04-29,0
2017-04-30,36
2017-05-01,0
2017-05-02,0
2017-05-03,0
2017-05-04,24
2017-05-05,22
2017-05-06,0
2017-05-07,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-13,0
2017-05-14,0
2017-05-15,0
2017-05-16,17
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-20,0
2017-05-21,0
2017-05-22,22
2017-05-23,32
2017-05-24,0
2017-05-25,0
2017-05-26,33
2017-05-27,30
2017-05-28,0
2017-05-29,100
2017-05-30,37
2017-05-31,0
2017-06-01,16
2017-06-02,0
2017-06-03,18
2017-06-04,0
2017-06-05,19
2017-06-06,22
2017-06-07,24
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,31
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,15
2017-06-17,38
2017-06-18,0
2017-06-19,0
2017-06-20,25
2017-06-21,15
2017-06-22,18
2017-06-23,0
2017-06-24,0
2017-06-25,0
2017-06-26,0
2017-06-27,35
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-01,23
2017-07-02,0
2017-07-03,0
2017-07-04,23
2017-07-05,46
2017-07-06,46
2017-07-07,47
2017-07-08,62
2017-07-09,73
2017-07-10,0
2017-07-11,0
2017-07-12,30
2017-07-13,68
2017-07-14,0
2017-07-15,35
2017-07-16,0
2017-07-17,30
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-22,0
2017-07-23,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-29,0
2017-07-30,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-05,0
2017-08-06,24
2017-08-07,69
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,17
2017-08-12,0
2017-08-13,0
2017-08-14,0
2017-08-15,57
2017-08-16,18
2017-08-17,34
2017-08-18,0
2017-08-19,0
2017-08-20,0
2017-08-21,16
2017-08-22,17
2017-08-23,37
2017-08-24,19
2017-08-25,27
2017-08-26,0
2017-08-27,18
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,35
2017-09-01,23
2017-09-02,33
2017-09-03,52
2017-09-04,64
2017-09-05,39
2017-09-06,49
2017-09-07,0
2017-09-08,57
2017-09-09,24
2017-09-10,0
2017-09-11,0
2017-09-12,37
2017-09-13,0
2017-09-14,0
2017-09-15,0
2017-09-16,0
2017-09-17,47
2017-09-18,22
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-23,48
2017-09-24,0
2017-09-25,24
2017-09-26,40
2017-09-27,0
2017-09-28,0
2017-09-29,27
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,57
2017-10-05,79
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,17
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,27
2017-10-26,0
2017-10-27,0
2017-10-28,70
2017-10-29,0
2017-10-30,0
2017-10-31,29
2017-11-01,31
2017-11-02,0
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,24
2017-11-08,95
2017-11-09,0
2017-11-10,17
2017-11-11,20
2017-11-12,0
2017-11-13,0
2017-11-14,22
2017-11-15,0
2017-11-16,33
2017-11-17,18
2017-11-18,24
2017-11-19,0
2017-11-20,0
2017-11-21,0
2017-11-22,0
2017-11-23,32
2017-11-24,0
2017-11-25,24
2017-11-26,24
2017-11-27,32
2017-11-28,0
2017-11-29,0
2017-11-30,0
2017-12-01,17
2017-12-02,45
2017-12-03,100
2017-12-04,22
2017-12-05,49
2017-12-06,52
2017-12-07,30
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,25
2017-12-12,0
2017-12-13,0
2017-12-14,0
2017-12-15,20
2017-12-16,0
2017-12-17,74
2017-12-18,32
2017-12-19,50
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,58
2017-12-27,0
2017-12-28,0
2017-12-29,0
2017-12-30,26
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,50
2018-01-08,25
2018-01-09,0
2018-01-10,32
2018-01-11,0
2018-01-12,0
2018-01-13,23
2018-01-14,17
2018-01-15,0
2018-01-16,0
2018-01-17,14
2018-01-18,18
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,15
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,15
2018-01-30,0
2018-01-31,20
2018-02-01,0
2018-02-02,20
2018-02-03,24
2018-02-04,0
2018-02-05,0
2018-02-06,24
2018-02-07,0
2018-02-08,32
2018-02-09,35
2018-02-10,22
2018-02-11,0
2018-02-12,40
2018-02-13,0
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,25
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,27
2018-02-26,15
2018-02-27,31
2018-02-28,23
2018-03-01,19
2018-03-02,27
2018-03-03,0
2018-03-04,20
2018-03-05,21
2018-03-06,43
2018-03-07,32
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,38
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,27
2018-03-18,0
2018-03-19,0
2018-03-20,0
2018-03-21,22
2018-03-22,0
2018-03-23,23
2018-03-24,0
2018-03-25,31
2018-03-26,20
2018-03-27,17
2018-03-28,0
2018-03-29,0
2018-03-30,21
2018-03-31,0
2018-04-01,84
2018-04-02,40
2018-04-03,29
2018-04-04,0
2018-04-05,23
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,0
2018-04-10,0
2018-04-11,0
2018-04-12,0
2018-04-13,45
2018-04-14,0
2018-04-15,86
2018-04-16,0
2018-04-17,0
2018-04-18,37
2018-04-19,18
2018-04-20,0
2018-04-21,54
2018-04-22,0
2018-04-23,0
2018-04-24,52
2018-04-25,0
2018-04-26,0
2018-04-27,18
2018-04-28,0
2018-04-29,20
2018-04-30,0
2018-05-01,26
2018-05-02,15
2018-05-03,28
2018-05-04,25
2018-05-05,0
2018-05-06,0
2018-05-07,0
2018-05-08,0
2018-05-09,49
2018-05-10,0
2018-05-11,22
2018-05-12,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-16,40
2018-05-17,0
2018-05-18,0
2018-05-19,23
2018-05-20,84
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,48
2018-05-26,100
2018-05-27,0
2018-05-28,30
2018-05-29,22
2018-05-30,0
2018-05-31,0
2018-06-01,0
2018-06-02,0
2018-06-03,0
2018-06-04,0
2018-06-05,17
2018-06-06,22
2018-06-07,14
2018-06-08,0
2018-06-09,0
2018-06-10,18
2018-06-11,0
2018-06-12,13
2018-06-13,0
2018-06-14,0
2018-06-15,0
2018-06-16,38
2018-06-17,0
2018-06-18,0
2018-06-19,30
2018-06-20,16
2018-06-21,0
2018-06-22,0
2018-06-23,0
2018-06-24,0
2018-06-25,0
2018-06-26,0
2018-06-27,30
2018-06-28,0
2018-06-29,16
2018-06-30,0
2018-07-01,0
2018-07-02,0
2018-07-03,0
2018-07-04,0
2018-07-05,0
2018-07-06,0
2018-07-07,0
2018-07-08,26
2018-07-09,0
2018-07-10,0
2018-07-11,0
2018-07-12,23
2018-07-13,0
2018-07-14,0
2018-07-15,0
2018-07-16,24
2018-07-17,16
2018-07-18,0
2018-07-19,0
2018-07-20,0
2018-07-21,36
2018-07-22,0
2018-07-23,23
2018-07-24,33
2018-07-25,18
2018-07-26,0
2018-07-27,30
2018-07-28,26
2018-07-29,19
2018-07-30,19
2018-07-31,0
2018-08-01,25
2018-08-02,0
2018-08-03,0
2018-08-04,21
2018-08-05,48
2018-08-06,47
2018-08-07,0
2018-08-08,36
2018-08-09,0
2018-08-10,0
2018-08-11,0
2018-08-12,30
2018-08-13,0
2018-08-14,47
2018-08-15,0
2018-08-16,37
2018-08-17,21
2018-08-18,22
2018-08-19,0
2018-08-20,19
2018-08-21,0
2018-08-22,0
2018-08-23,37
2018-08-24,0
2018-08-25,0
2018-08-26,0
2018-08-27,0
2018-08-28,0
2018-08-29,0
2018-08-30,15
2018-08-31,0
2018-09-01,0
2018-09-02,0
2018-09-03,0
2018-09-04,19
2018-09-05,34
2018-09-06,0
2018-09-07,18
2018-09-08,25
2018-09-09,0
2018-09-10,99
2018-09-11,0
2018-09-12,100
2018-09-13,29
2018-09-14,0
2018-09-15,52
2018-09-16,0
2018-09-17,22
2018-09-18,0
2018-09-19,23
2018-09-20,0
2018-09-21,0
2018-09-22,0
2018-09-23,98
2018-09-24,20
2018-09-25,0
2018-09-26,43
2018-09-27,31
2018-09-28,21
2018-09-29,0
2018-09-30,19
2018-10-01,16
2018-10-02,0
2018-10-03,0
2018-10-04,0
2018-10-05,19
2018-10-06,35
2018-10-07,0
2018-10-08,0
2018-10-09,0
2018-10-10,22
2018-10-11,0
2018-10-12,0
2018-10-13,0
2018-10-14,51
2018-10-15,88
2018-10-16,22
2018-10-17,17
2018-10-18,0
2018-10-19,0
2018-10-20,23
2018-10-21,43
2018-10-22,15
2018-10-23,0
2018-10-24,19
2018-10-25,0
2018-10-26,41
2018-10-27,0
2018-10-28,0
2018-10-29,0
2018-10-30,69
2018-10-31,0
2018-11-01,38
2018-11-02,0
2018-11-03,0
2018-11-04,0
2018-11-05,34
2018-11-06,25
2018-11-07,0
2018-11-08,27
2018-11-09,48
2018-11-10,0
2018-11-11,0
2018-11-12,0
2018-11-13,0
2018-11-14,32
2018-11-15,40
2018-11-16,0
2018-11-17,66
2018-11-18,46
2018-11-19,0
2018-11-20,45
2018-11-21,0
2018-11-22,34
2018-11-23,20
2018-11-24,22
2018-11-25,51
2018-11-26,0
2018-11-27,28
2018-11-28,0
2018-11-29,33
2018-11-30,0
2018-12-01,0
2018-12-02,0
2018-12-03,0
2018-12-04,41
2018-12-05,35
2018-12-06,20
2018-12-07,22
2018-12-08,43
2018-12-09,0
2018-12-10,22
2018-12-11,0
2018-12-12,0
2018-12-13,17
2018-12-14,0
2018-12-15,26
2018-12-16,0
2018-12-17,35
2018-12-18,0
2018-12-19,37
2018-12-20,0
2018-12-21,0
2018-12-22,0
2018-12-23,0
2018-12-24,49
2018-12-25,0
2018-12-26,0
2018-12-27,0
2018-12-28,0
2018-12-29,0
2018-12-30,18
2018-12-31,0