date,harrypotterwiki,hogwartsishere,jkrowling,harrypotterlexicon,mugglenet,pottermore,wizardingworld
2016-01-01,0,0,0,0,0,10,16
2016-01-02,0,0,0,25,0,11,24
2016-01-03,0,0,0,32,22,10,19
2016-01-04,0,0,0,0,49,8,14
2016-01-05,22,0,0,0,0,8,14
2016-01-06,0,58,0,27,0,8,15
2016-01-07,0,0,0,0,0,7,17
2016-01-08,0,57,0,0,0,7,18
2016-01-09,0,37,0,0,26,10,16
2016-01-10,43,0,0,0,0,10,14
2016-01-11,0,0,0,0,18,6,15
2016-01-12,0,0,0,0,34,7,9
2016-01-13,0,43,0,0,56,7,12
2016-01-14,0,20,0,0,74,10,15
2016-01-15,0,36,0,54,38,10,27
2016-01-16,0,0,0,0,20,11,22
2016-01-17,0,0,0,0,0,10,14
2016-01-18,0,58,0,0,0,8,16
2016-01-19,34,0,0,0,24,8,21
2016-01-20,47,54,22,0,0,8,15
2016-01-21,0,0,25,0,19,8,19
2016-01-22,0,0,0,0,0,9,21
2016-01-23,0,46,0,36,85,9,15
2016-01-24,34,0,0,0,33,10,18
2016-01-25,22,31,0,0,28,8,15
2016-01-26,0,23,0,31,30,7,9
2016-01-27,0,28,77,0,45,7,11
2016-01-28,100,0,0,18,34,44,13
2016-01-29,31,0,48,0,47,43,12
2016-01-30,0,37,0,0,0,100,21
2016-01-31,38,0,0,0,50,85,21
2016-02-01,0,0,41,0,25,51,21
2016-02-02,0,0,0,43,25,37,11
2016-02-03,0,44,52,23,22,26,8
2016-02-04,0,0,0,30,0,23,17
2016-02-05,0,0,0,0,17,21,13
2016-02-06,0,59,0,45,32,21,17
2016-02-07,0,0,0,0,25,19,13
2016-02-08,0,0,0,46,16,15,9
2016-02-09,0,0,0,0,0,14,18
2016-02-10,0,27,0,0,0,20,22
2016-02-11,36,0,0,0,34,23,23
2016-02-12,0,60,0,0,25,17,19
2016-02-13,0,0,0,25,59,17,16
2016-02-14,0,0,60,0,0,15,18
2016-02-15,0,24,0,0,26,12,21
2016-02-16,21,20,0,18,24,12,17
2016-02-17,0,0,0,0,23,12,20
2016-02-18,0,21,33,23,0,11,15
2016-02-19,0,0,0,66,18,12,15
2016-02-20,0,38,38,0,30,15,22
2016-02-21,47,0,0,0,27,14,23
2016-02-22,23,0,0,0,43,11,17
2016-02-23,0,0,34,0,56,11,17
2016-02-24,0,0,0,0,50,10,17
2016-02-25,0,0,0,0,38,9,12
2016-02-26,0,0,0,0,0,10,19
2016-02-27,0,0,40,0,0,10,17
2016-02-28,37,0,0,0,49,12,23
2016-02-29,0,0,23,0,30,8,20
2016-03-01,0,0,0,0,0,9,21
2016-03-02,46,18,0,0,0,10,18
2016-03-03,0,0,0,20,16,9,15
2016-03-04,0,0,0,0,19,10,18
2016-03-05,0,0,45,30,19,12,27
2016-03-06,0,0,0,0,0,13,29
2016-03-07,0,20,72,0,33,17,25
2016-03-08,23,0,0,100,25,28,22
2016-03-09,0,0,0,0,18,27,23
2016-03-10,0,0,41,0,0,20,21
2016-03-11,0,0,23,0,66,17,20
2016-03-12,0,0,0,0,58,17,21
2016-03-13,0,0,0,30,0,16,22
2016-03-14,0,32,0,23,51,11,19
2016-03-15,0,0,22,20,44,11,17
2016-03-16,20,0,0,0,28,10,17
2016-03-17,0,0,30,0,0,8,16
2016-03-18,0,0,35,22,0,10,14
2016-03-19,0,0,59,0,34,11,17
2016-03-20,0,32,0,0,56,11,24
2016-03-21,0,0,0,42,0,9,19
2016-03-22,0,34,0,0,36,11,21
2016-03-23,27,0,0,0,23,11,22
2016-03-24,0,0,0,0,18,10,16
2016-03-25,0,0,0,0,0,12,24
2016-03-26,0,0,0,0,0,12,16
2016-03-27,0,0,0,0,74,14,26
2016-03-28,45,0,25,34,35,12,26
2016-03-29,45,0,0,0,70,11,29
2016-03-30,27,19,0,0,100,11,30
2016-03-31,0,0,0,0,57,10,29
2016-04-01,0,0,0,0,82,11,27
2016-04-02,0,0,0,0,25,12,27
2016-04-03,0,0,25,21,79,11,20
2016-04-04,29,0,0,37,42,9,25
2016-04-05,35,23,0,20,0,11,27
2016-04-06,0,0,0,0,0,11,72
2016-04-07,0,0,0,0,0,10,100
2016-04-08,0,0,0,0,78,13,83
2016-04-09,0,61,0,0,0,13,74
2016-04-10,0,26,0,0,73,13,64
2016-04-11,0,27,0,0,39,13,58
2016-04-12,0,0,0,0,0,12,46
2016-04-13,0,0,0,17,49,10,37
2016-04-14,0,21,0,0,26,10,27
2016-04-15,0,0,0,0,17,11,30
2016-04-16,0,0,0,0,20,13,26
2016-04-17,0,48,0,0,58,11,26
2016-04-18,0,0,0,0,0,9,24
2016-04-19,0,0,0,0,0,9,26
2016-04-20,51,23,0,0,46,9,18
2016-04-21,34,0,0,51,40,9,21
2016-04-22,0,0,0,0,66,9,18
2016-04-23,0,0,0,0,0,9,24
2016-04-24,0,0,28,0,27,11,21
2016-04-25,0,51,0,0,38,9,18
2016-04-26,0,0,0,0,52,9,15
2016-04-27,0,0,0,18,0,8,18
2016-04-28,0,26,0,28,0,9,20
2016-04-29,0,32,22,0,35,8,20
2016-04-30,0,0,100,0,0,11,22
2016-05-01,0,0,0,53,47,12,26
2016-05-02,79,26,0,0,0,10,18
2016-05-03,0,0,0,33,0,8,14
2016-05-04,0,0,0,18,0,8,12
2016-05-05,0,0,0,0,39,9,20
2016-05-06,0,0,0,23,23,9,19
2016-05-07,0,0,0,0,0,10,16
2016-05-08,0,0,46,36,34,9,22
2016-05-09,0,0,27,0,0,9,20
2016-05-10,0,0,0,0,0,8,18
2016-05-11,28,45,0,0,0,10,20
2016-05-12,0,0,0,0,0,10,23
2016-05-13,0,0,0,0,18,10,12
2016-05-14,0,31,0,50,23,12,19
2016-05-15,26,0,0,0,21,12,24
2016-05-16,0,100,0,43,23,9,18
2016-05-17,48,0,0,54,0,8,11
2016-05-18,0,0,49,0,0,8,13
2016-05-19,0,88,0,0,0,9,17
2016-05-20,0,35,0,29,0,10,19
2016-05-21,0,0,77,0,50,13,21
2016-05-22,64,0,0,0,19,16,19
2016-05-23,0,0,0,0,19,13,18
2016-05-24,0,38,0,0,22,11,22
2016-05-25,33,0,39,0,40,10,18
2016-05-26,0,0,0,0,0,10,20
2016-05-27,0,0,0,0,28,10,10
2016-05-28,29,0,0,0,0,11,21
2016-05-29,0,0,0,0,87,12,20
2016-05-30,0,0,0,0,0,11,17
2016-05-31,0,0,0,25,31,13,19
2016-06-01,0,22,21,0,0,14,12
2016-06-02,0,0,0,0,0,18,15
2016-06-03,0,0,0,0,28,20,14
2016-06-04,0,32,19,21,31,25,16
2016-06-05,0,0,0,0,0,21,21
2016-06-06,0,0,0,0,34,16,9
2016-06-07,44,22,0,0,0,13,11
2016-06-08,0,33,15,36,43,13,22
2016-06-09,0,24,0,0,22,13,16
2016-06-10,0,0,0,0,0,27,17
2016-06-11,0,0,21,0,85,37,17
2016-06-12,0,0,0,0,28,29,22
2016-06-13,20,0,17,0,27,15,18
2016-06-14,0,0,0,0,52,13,19
2016-06-15,39,0,0,0,36,11,11
2016-06-16,0,0,35,20,0,11,17
2016-06-17,44,35,0,20,0,12,14
2016-06-18,0,22,0,0,52,11,10
2016-06-19,0,0,0,0,29,12,19
2016-06-20,24,0,0,0,26,10,12
2016-06-21,0,0,36,0,0,10,12
2016-06-22,0,0,0,0,31,10,16
2016-06-23,0,0,0,75,25,10,14
2016-06-24,87,40,0,0,17,11,21
2016-06-25,25,0,0,0,0,13,12
2016-06-26,0,0,0,0,41,12,17
2016-06-27,0,0,0,0,31,11,10
2016-06-28,21,19,0,24,83,53,15
2016-06-29,0,0,0,0,26,96,19
2016-06-30,0,50,0,25,41,63,20
2016-07-01,0,0,0,0,22,13,43
2016-07-02,0,0,0,0,20,11,46
2016-07-03,0,0,0,0,21,10,77
2016-07-04,0,46,32,0,0,8,46
2016-07-05,0,0,0,0,23,7,43
2016-07-06,0,0,0,0,25,7,71
2016-07-07,0,39,25,0,0,6,40
2016-07-08,0,57,0,0,0,6,51
2016-07-09,0,35,0,0,0,6,51
2016-07-10,32,36,0,0,0,6,55
2016-07-11,0,0,0,0,0,5,58
2016-07-12,23,0,0,0,33,4,38
2016-07-13,51,0,0,0,55,5,39
2016-07-14,0,0,0,0,32,5,42
2016-07-15,0,0,0,0,70,5,40
2016-07-16,0,28,0,0,0,6,36
2016-07-17,0,0,0,39,0,7,52
2016-07-18,0,0,0,22,0,5,43
2016-07-19,0,0,0,0,0,5,42
2016-07-20,0,0,0,0,0,5,55
2016-07-21,0,37,0,68,25,4,50
2016-07-22,0,0,0,0,20,4,39
2016-07-23,0,0,0,39,42,5,50
2016-07-24,0,0,0,38,0,5,61
2016-07-25,0,0,0,0,51,4,54
2016-07-26,0,28,0,0,35,4,42
2016-07-27,0,0,55,0,22,5,55
2016-07-28,0,18,0,0,25,5,52
2016-07-29,0,0,0,0,0,5,38
2016-07-30,0,21,0,0,38,7,60
2016-07-31,0,52,0,33,96,11,98
2016-08-01,34,25,0,23,100,8,92
2016-08-02,0,25,0,100,31,6,72
2016-08-03,0,0,63,0,0,5,61
2016-08-04,0,0,0,0,0,6,61
2016-08-05,0,0,0,0,0,5,51
2016-08-06,0,0,0,0,28,5,53
2016-08-07,0,0,21,0,27,6,72
2016-08-08,0,27,0,0,0,4,47
2016-08-09,0,0,0,39,28,4,47
2016-08-10,0,0,0,0,67,4,50
2016-08-11,0,0,0,0,0,3,55
2016-08-12,0,19,18,0,47,4,33
2016-08-13,0,0,49,0,0,4,45
2016-08-14,0,22,0,0,0,5,59
2016-08-15,0,100,0,35,0,4,48
2016-08-16,0,54,0,0,0,4,49
2016-08-17,0,46,0,0,38,5,37
2016-08-18,0,0,0,0,0,6,43
2016-08-19,0,26,0,0,0,5,48
2016-08-20,35,0,0,0,0,5,36
2016-08-21,0,0,0,54,21,5,47
2016-08-22,0,0,0,37,83,4,29
2016-08-23,0,21,0,0,0,4,33
2016-08-24,0,0,41,0,0,4,50
2016-08-25,0,0,0,20,44,4,37
2016-08-26,22,0,0,0,55,4,39
2016-08-27,0,23,0,0,0,5,47
2016-08-28,0,0,0,0,28,5,42
2016-08-29,0,0,0,0,0,4,37
2016-08-30,0,0,29,0,0,4,26
2016-08-31,0,0,21,22,29,4,51
2016-09-01,31,0,0,0,16,5,30
2016-09-02,0,0,24,0,0,5,34
2016-09-03,0,0,0,0,30,5,50
2016-09-04,0,26,0,0,0,5,51
2016-09-05,33,0,0,0,0,5,43
2016-09-06,0,31,0,0,37,5,45
2016-09-07,0,0,62,0,0,5,34
2016-09-08,0,0,0,33,0,4,30
2016-09-09,0,0,0,0,0,4,38
2016-09-10,0,20,0,23,35,4,29
2016-09-11,74,19,0,85,35,5,43
2016-09-12,0,27,0,31,0,4,43
2016-09-13,29,19,0,0,0,3,39
2016-09-14,0,40,0,0,17,3,27
2016-09-15,0,0,0,0,24,3,37
2016-09-16,0,33,16,44,23,3,45
2016-09-17,0,26,0,0,37,4,36
2016-09-18,0,22,0,35,0,4,47
2016-09-19,33,93,0,0,42,3,26
2016-09-20,0,0,0,33,25,3,42
2016-09-21,0,0,0,0,0,3,28
2016-09-22,0,0,15,0,19,71,28
2016-09-23,0,0,0,0,18,100,43
2016-09-24,0,27,0,0,31,51,45
2016-09-25,0,0,0,0,34,37,60
2016-09-26,24,0,0,0,19,22,38
2016-09-27,0,0,0,0,0,15,24
2016-09-28,0,0,0,0,16,12,27
2016-09-29,0,0,0,25,0,11,42
2016-09-30,0,0,0,0,0,12,31
2016-10-01,0,0,0,57,30,15,44
2016-10-02,46,0,41,0,0,12,62
2016-10-03,0,0,0,26,0,8,35
2016-10-04,0,33,0,0,18,8,39
2016-10-05,0,0,0,0,0,8,36
2016-10-06,0,24,0,0,26,8,48
2016-10-07,0,0,33,0,19,9,57
2016-10-08,0,0,0,0,0,9,48
2016-10-09,0,23,24,0,0,8,26
2016-10-10,33,50,0,0,0,7,32
2016-10-11,0,0,0,0,37,6,38
2016-10-12,0,0,0,0,0,7,46
2016-10-13,0,43,0,0,0,7,48
2016-10-14,0,0,26,0,17,8,43
2016-10-15,0,0,0,0,36,10,58
2016-10-16,0,93,0,0,0,8,64
2016-10-17,32,21,0,23,35,7,52
2016-10-18,0,0,0,0,0,6,29
2016-10-19,0,0,0,22,0,6,43
2016-10-20,0,28,100,0,0,6,35
2016-10-21,28,0,0,0,0,7,40
2016-10-22,0,0,0,0,0,7,57
2016-10-23,0,34,47,0,36,7,49
2016-10-24,0,0,0,0,18,6,48
2016-10-25,100,0,0,0,42,6,35
2016-10-26,0,0,0,0,66,6,49
2016-10-27,0,0,28,0,0,6,34
2016-10-28,0,0,0,0,0,5,42
2016-10-29,0,55,0,0,24,7,45
2016-10-30,0,0,0,0,48,7,53
2016-10-31,0,0,0,22,0,6,48
2016-11-01,0,0,0,0,20,6,32
2016-11-02,0,0,33,0,0,6,35
2016-11-03,0,85,37,0,0,6,40
2016-11-04,33,32,100,0,0,6,43
2016-11-05,0,0,0,0,29,7,45
2016-11-06,0,43,0,0,0,7,48
2016-11-07,55,30,0,0,0,9,52
2016-11-08,24,0,0,0,0,11,43
2016-11-09,0,37,0,0,0,7,19
2016-11-10,25,0,0,0,36,7,21
2016-11-11,0,0,0,0,0,7,39
2016-11-12,0,0,0,23,31,8,58
2016-11-13,0,0,49,0,18,9,57
2016-11-14,0,0,0,37,0,7,39
2016-11-15,0,72,36,0,0,7,65
2016-11-16,0,24,0,22,34,10,62
2016-11-17,0,18,0,22,28,14,67
2016-11-18,0,0,55,0,29,14,51
2016-11-19,0,0,0,39,39,16,80
2016-11-20,30,27,0,0,17,18,100
2016-11-21,0,0,0,0,32,14,69
2016-11-22,0,0,0,0,28,13,74
2016-11-23,0,0,0,0,0,12,61
2016-11-24,0,0,0,23,19,12,45
2016-11-25,36,0,0,0,0,12,58
2016-11-26,60,0,0,0,88,15,71
2016-11-27,0,22,0,33,0,14,64
2016-11-28,30,0,0,0,16,11,63
2016-11-29,0,0,0,0,21,11,45
2016-11-30,0,17,0,51,18,10,59
2016-12-01,0,33,0,0,43,10,52
2016-12-02,0,28,0,52,21,9,53
2016-12-03,24,30,40,0,41,10,83
2016-12-04,0,22,0,24,0,11,65
2016-12-05,0,18,0,0,0,8,51
2016-12-06,0,0,0,0,0,9,55
2016-12-07,0,0,53,0,27,8,34
2016-12-08,33,0,0,0,18,7,52
2016-12-09,0,0,0,0,25,8,46
2016-12-10,0,0,30,0,0,9,47
2016-12-11,0,0,0,0,0,9,66
2016-12-12,0,0,0,0,0,8,59
2016-12-13,0,20,43,38,35,7,61
2016-12-14,0,0,0,0,25,7,41
2016-12-15,0,0,32,0,14,7,38
2016-12-16,0,0,0,0,0,7,74
2016-12-17,0,35,0,0,0,8,53
2016-12-18,0,26,0,0,25,8,66
2016-12-19,61,0,0,0,36,7,62
2016-12-20,0,44,0,23,76,7,49
2016-12-21,0,0,0,25,0,7,45
2016-12-22,0,0,0,0,0,8,68
2016-12-23,0,0,0,29,17,9,45
2016-12-24,0,0,0,35,0,10,64
2016-12-25,0,0,0,0,21,13,56
2016-12-26,0,23,0,0,0,10,73
2016-12-27,19,0,66,53,0,8,87
2016-12-28,0,64,0,0,27,9,67
2016-12-29,0,30,0,0,0,9,68
2016-12-30,0,0,0,0,26,9,88
2016-12-31,0,22,0,0,27,10,72
2017-01-01,52,0,0,0,0,44,95
2017-01-02,0,72,0,0,16,45,94
2017-01-03,0,0,0,23,31,58,95
2017-01-04,0,39,0,0,0,100,100
2017-01-05,0,0,0,0,44,78,74
2017-01-06,44,30,24,0,19,55,74
2017-01-07,0,0,0,0,19,51,98
2017-01-08,0,35,0,0,28,51,81
2017-01-09,42,54,0,0,26,32,60
2017-01-10,0,0,0,45,0,31,56
2017-01-11,38,24,21,23,49,32,50
2017-01-12,34,31,0,0,0,29,51
2017-01-13,0,100,0,0,0,29,69
2017-01-14,0,0,0,0,29,35,78
2017-01-15,50,0,0,0,0,35,88
2017-01-16,0,0,0,0,31,27,59
2017-01-17,31,0,25,0,0,24,67
2017-01-18,0,0,0,22,16,25,59
2017-01-19,0,44,53,0,0,24,69
2017-01-20,0,0,20,0,0,24,59
2017-01-21,0,44,0,0,27,33,64
2017-01-22,0,0,0,0,0,36,91
2017-01-23,0,0,0,0,17,24,73
2017-01-24,54,36,0,0,28,24,66
2017-01-25,47,0,0,0,0,22,66
2017-01-26,0,26,22,0,36,23,64
2017-01-27,81,0,0,39,26,28,74
2017-01-28,0,48,0,100,63,33,84
2017-01-29,0,81,0,24,0,31,93
2017-01-30,0,0,0,0,0,23,58
2017-01-31,0,0,0,0,0,23,51
2017-02-01,46,29,0,48,26,21,49
2017-02-02,0,31,0,0,0,24,51
2017-02-03,0,0,21,0,0,24,41
2017-02-04,0,0,0,0,16,32,71
2017-02-05,0,31,0,0,0,30,82
2017-02-06,0,0,0,0,0,21,53
2017-02-07,0,81,0,0,0,19,42
2017-02-08,0,0,100,0,0,21,60
2017-02-09,100,0,0,0,14,21,53
2017-02-10,0,67,0,0,0,20,58
2017-02-11,0,0,34,0,20,23,75
2017-02-12,0,26,0,35,0,24,65
2017-02-13,0,37,31,0,15,18,33
2017-02-14,0,35,0,22,0,20,57
2017-02-15,0,0,0,0,0,19,32
2017-02-16,0,45,0,0,0,19,54
2017-02-17,0,0,30,0,0,20,54
2017-02-18,44,34,0,50,74,25,56
2017-02-19,45,0,0,31,0,23,68
2017-02-20,0,24,0,0,35,20,50
2017-02-21,0,0,0,0,0,18,48
2017-02-22,0,0,0,0,54,19,59
2017-02-23,0,0,0,0,0,17,64
2017-02-24,0,0,25,0,74,20,64
2017-02-25,0,37,0,0,0,23,44
2017-02-26,0,36,0,0,0,25,69
2017-02-27,0,24,0,0,15,20,53
2017-02-28,0,0,0,0,22,17,32
2017-03-01,0,0,0,52,0,18,47
2017-03-02,0,0,40,0,0,19,41
2017-03-03,0,0,0,0,26,19,48
2017-03-04,0,0,0,0,0,24,46
2017-03-05,0,0,0,27,24,23,83
2017-03-06,0,0,0,0,0,19,61
2017-03-07,0,35,39,0,0,19,48
2017-03-08,88,0,0,0,31,18,37
2017-03-09,0,0,0,25,32,18,19
2017-03-10,33,0,33,0,25,21,49
2017-03-11,0,0,0,56,0,24,60
2017-03-12,0,0,0,22,98,24,52
2017-03-13,0,0,0,22,0,19,78
2017-03-14,67,0,0,36,0,20,52
2017-03-15,0,0,26,0,0,19,72
2017-03-16,0,31,0,24,32,17,64
2017-03-17,45,0,48,38,18,19,41
2017-03-18,0,51,29,0,0,24,56
2017-03-19,39,0,27,0,0,25,79
2017-03-20,0,0,0,0,28,17,53
2017-03-21,0,0,0,0,0,18,79
2017-03-22,0,0,0,0,0,21,45
2017-03-23,0,45,0,87,0,19,34
2017-03-24,0,46,21,0,26,21,56
2017-03-25,38,95,0,0,23,21,77
2017-03-26,0,25,0,0,0,22,62
2017-03-27,0,0,0,0,0,17,42
2017-03-28,0,0,32,0,29,19,50
2017-03-29,32,25,0,0,0,19,55
2017-03-30,0,48,0,0,0,18,54
2017-03-31,0,0,0,0,0,19,47
2017-04-01,35,29,0,0,0,24,60
2017-04-02,0,29,0,40,51,24,62
2017-04-03,0,0,0,25,0,20,52
2017-04-04,0,0,0,0,0,17,49
2017-04-05,0,35,0,24,0,31,59
2017-04-06,0,57,0,0,0,24,38
2017-04-07,43,0,0,45,0,23,41
2017-04-08,90,0,0,0,0,20,64
2017-04-09,69,58,0,0,27,23,57
2017-04-10,0,0,0,0,0,22,60
2017-04-11,54,71,35,0,0,19,40
2017-04-12,0,0,0,24,25,22,59
2017-04-13,0,32,22,0,55,23,60
2017-04-14,0,0,0,0,0,23,74
2017-04-15,43,0,0,0,19,24,73
2017-04-16,0,0,0,0,28,24,71
2017-04-17,0,87,0,45,14,20,24
2017-04-18,0,0,31,25,20,17,46
2017-04-19,38,29,0,0,0,19,23
2017-04-20,0,0,0,27,15,18,56
2017-04-21,0,0,23,0,0,20,34
2017-04-22,71,0,26,0,47,24,41
2017-04-23,0,0,0,0,87,23,49
2017-04-24,0,0,0,0,23,20,56
2017-04-25,0,0,0,0,0,19,45
2017-04-26,0,0,0,0,23,18,40
2017-04-27,35,0,0,0,26,19,53
2017-04-28,0,22,28,56,0,21,45
2017-04-29,0,49,35,0,0,26,40
2017-04-30,0,0,0,0,36,30,60
2017-05-01,0,0,0,44,0,24,61
2017-05-02,0,0,0,0,0,20,46
2017-05-03,0,0,0,0,0,20,49
2017-05-04,0,0,0,0,24,20,52
2017-05-05,43,0,0,0,22,21,55
2017-05-06,47,67,0,0,0,22,33
2017-05-07,0,0,0,0,0,21,49
2017-05-08,0,0,0,0,0,19,54
2017-05-09,0,0,0,0,0,17,67
2017-05-10,0,0,0,0,0,17,78
2017-05-11,0,26,0,34,0,19,39
2017-05-12,0,30,0,0,0,20,53
2017-05-13,42,0,32,56,0,20,54
2017-05-14,0,0,0,0,0,21,48
2017-05-15,0,0,0,0,0,16,66
2017-05-16,0,34,0,0,17,17,53
2017-05-17,0,0,0,0,0,15,46
2017-05-18,0,0,0,0,0,16,47
2017-05-19,0,0,49,0,0,18,37
2017-05-20,45,0,0,0,0,20,54
2017-05-21,0,28,0,0,0,20,76
2017-05-22,0,0,0,0,22,15,58
2017-05-23,0,0,0,0,32,16,40
2017-05-24,0,0,0,0,0,17,24
2017-05-25,59,43,22,0,0,16,62
2017-05-26,0,0,0,0,33,17,58
2017-05-27,0,0,0,0,30,20,57
2017-05-28,64,0,0,0,0,22,65
2017-05-29,0,25,0,0,100,20,66
2017-05-30,0,22,0,0,37,19,58
2017-05-31,0,0,0,35,0,20,61
2017-06-01,69,0,0,66,16,18,39
2017-06-02,0,0,0,0,0,19,56
2017-06-03,0,0,21,0,18,21,45
2017-06-04,0,0,0,0,0,22,58
2017-06-05,0,0,0,39,19,18,41
2017-06-06,24,23,49,0,22,20,56
2017-06-07,0,48,0,31,24,23,50
2017-06-08,0,58,0,0,0,22,50
2017-06-09,0,0,0,0,0,20,66
2017-06-10,31,0,0,76,0,22,49
2017-06-11,34,0,0,0,31,26,34
2017-06-12,0,0,0,0,0,21,47
2017-06-13,0,23,0,0,0,19,46
2017-06-14,0,27,0,0,0,19,57
2017-06-15,0,0,0,0,0,23,49
2017-06-16,35,0,0,0,15,26,45
2017-06-17,0,0,0,0,38,25,67
2017-06-18,0,0,0,0,0,25,54
2017-06-19,0,0,0,0,0,21,54
2017-06-20,0,0,0,0,25,20,51
2017-06-21,62,0,0,0,15,21,40
2017-06-22,0,0,64,34,18,22,67
2017-06-23,0,0,0,36,0,25,51
2017-06-24,0,0,0,43,0,25,71
2017-06-25,0,0,0,0,0,28,64
2017-06-26,0,0,0,54,0,61,91
2017-06-27,0,0,0,35,35,60,67
2017-06-28,0,39,0,0,0,35,60
2017-06-29,0,0,0,0,0,31,59
2017-06-30,0,0,0,56,0,28,43
